מקור,יעד
L,L
אופנועים,L
L חשמלי,L
אופנועים חשמלי,L
L7,L7
רכב זעיר,L7
L7 חשמלי,L7
רכב זעיר חשמלי,L7
M1,M1
M1 חשמלי,M1
M2,M2
M2 חשמלי,M2
M3,M3
M3 חשמלי,M3
N1,N1
N1 חשמלי,N1
N2,N2
N2 חשמלי,N2
N3,N3
N3 חשמלי,N3
O1,O1
O2,O2
O3,O3
O4,O4
T1,T1 טרקטור משא
T1 טרקטור משא,T1 טרקטור משא
טרקטור משא,T1 טרקטור משא
T2 טרקטורון,T2 טרקטורון
T2 רכב שטח,T2 רכב שטח
תלת אופנוע,תלת אופנוע
רכב תפעולי,רכב תפעולי
רכב שטח,T2 רכב שטח
טרקטורונים,T2 טרקטורון
טרקטורון,T2 טרקטורון
אופנוע,L
